flood_id,dateTimeMin,dateTimeMax,dateTimeMed,maxWaterLevel,meanWaterLevel,flood_time_hours
134,2005-08-20T09:36:00Z,2005-08-20T10:42:00Z,2005-08-20T10:09:00Z,0.303,0.29733333333333334,1.1
135,2005-08-21T10:30:00Z,2005-08-21T11:30:00Z,2005-08-21T11:00:00Z,0.304,0.2990909090909091,1
136,2005-08-31T06:06:00Z,2005-08-31T11:48:00Z,2005-08-31T08:57:00Z,0.367,0.3411206896551724,5.7
137,2005-08-31T16:30:00Z,2005-08-31T20:36:00Z,2005-08-31T18:33:00Z,0.355,0.3282380952380952,4.1
138,2005-09-15T04:30:00Z,2005-09-15T10:00:00Z,2005-09-15T07:15:00Z,0.428,0.3757142857142857,5.5
140,2005-09-16T07:54:00Z,2005-09-16T08:48:00Z,2005-09-16T08:21:00Z,0.302,0.2988,0.9
141,2005-09-17T08:48:00Z,2005-09-17T09:36:00Z,2005-09-17T09:12:00Z,0.299,0.2951111111111111,0.8
142,2005-09-25T04:12:00Z,2005-09-25T05:06:00Z,2005-09-25T04:39:00Z,0.297,0.294,0.9
143,2005-09-25T11:54:00Z,2005-09-25T15:54:00Z,2005-09-25T13:54:00Z,0.329,0.31534146341463415,4
144,2005-09-29T06:30:00Z,2005-09-29T08:42:00Z,2005-09-29T07:36:00Z,0.325,0.31156521739130433,2.2
145,2005-09-29T16:24:00Z,2005-09-29T16:42:00Z,2005-09-29T16:33:00Z,0.303,0.298,0.3
146,2005-09-29T17:00:00Z,2005-09-29T19:36:00Z,2005-09-29T18:18:00Z,0.331,0.31044444444444447,2.6
147,2005-10-07T22:12:00Z,2005-10-08T05:48:00Z,2005-10-08T02:00:00Z,0.523,0.4275584415584416,7.6
148,2005-10-08T09:42:00Z,2005-10-08T16:06:00Z,2005-10-08T12:54:00Z,0.406,0.3646,6.4
149,2005-10-08T21:54:00Z,2005-10-09T02:54:00Z,2005-10-09T00:24:00Z,0.38,0.35070588235294115,5
150,2005-10-25T12:18:00Z,2005-10-25T12:42:00Z,2005-10-25T12:30:00Z,0.299,0.2956,0.4
151,2005-10-25T13:00:00Z,2005-10-25T20:12:00Z,2005-10-25T16:36:00Z,0.412,0.3581643835616438,7.2
152,2005-10-26T02:18:00Z,2005-10-26T05:42:00Z,2005-10-26T04:00:00Z,0.328,0.3156285714285714,3.4
153,2005-11-16T22:12:00Z,2005-11-16T22:24:00Z,2005-11-16T22:18:00Z,0.291,0.291,0.2
154,2006-01-04T23:12:00Z,2006-01-05T05:06:00Z,2006-01-05T02:09:00Z,0.442,0.38215,5.9
155,2006-01-05T12:30:00Z,2006-01-05T14:54:00Z,2006-01-05T13:42:00Z,0.327,0.31396,2.4
156,2006-02-02T00:30:00Z,2006-02-02T01:30:00Z,2006-02-02T01:00:00Z,0.301,0.296,1
157,2006-02-02T11:36:00Z,2006-02-02T14:06:00Z,2006-02-02T12:51:00Z,0.335,0.3198076923076923,2.5
158,2006-02-03T00:06:00Z,2006-02-03T02:36:00Z,2006-02-03T01:21:00Z,0.336,0.31853846153846155,2.5
159,2006-02-03T11:36:00Z,2006-02-03T17:54:00Z,2006-02-03T14:45:00Z,0.449,0.38946875,6.3
161,2006-02-05T02:12:00Z,2006-02-05T02:36:00Z,2006-02-05T02:24:00Z,0.322,0.3098,0.4
162,2006-02-05T03:06:00Z,2006-02-05T03:48:00Z,2006-02-05T03:27:00Z,0.302,0.297,0.7
163,2006-02-05T04:18:00Z,2006-02-05T04:24:00Z,2006-02-05T04:21:00Z,0.291,0.291,0.1
164,2006-02-05T13:42:00Z,2006-02-05T16:24:00Z,2006-02-05T15:03:00Z,0.339,0.32135714285714284,2.7
165,2006-04-22T17:24:00Z,2006-04-22T18:12:00Z,2006-04-22T17:48:00Z,0.3,0.29477777777777775,0.8
166,2006-04-23T02:54:00Z,2006-04-23T06:42:00Z,2006-04-23T04:48:00Z,0.341,0.3229230769230769,3.8
167,2006-05-02T10:42:00Z,2006-05-02T17:06:00Z,2006-05-02T13:54:00Z,0.423,0.36401538461538463,6.4
168,2006-05-03T13:24:00Z,2006-05-03T14:12:00Z,2006-05-03T13:48:00Z,0.3,0.2961111111111111,0.8
169,2006-05-11T06:36:00Z,2006-05-11T10:24:00Z,2006-05-11T08:30:00Z,0.375,0.3441025641025641,3.8
170,2006-05-12T05:42:00Z,2006-05-12T11:42:00Z,2006-05-12T08:42:00Z,0.472,0.3978688524590164,6
171,2006-05-13T09:12:00Z,2006-05-13T10:18:00Z,2006-05-13T09:45:00Z,0.304,0.2990833333333333,1.1
172,2006-05-14T09:42:00Z,2006-05-14T11:30:00Z,2006-05-14T10:36:00Z,0.321,0.30905263157894736,1.8
173,2006-05-15T08:18:00Z,2006-05-15T13:42:00Z,2006-05-15T11:00:00Z,0.433,0.3804909090909091,5.4
174,2006-06-08T06:36:00Z,2006-06-08T08:18:00Z,2006-06-08T07:27:00Z,0.309,0.3015555555555555,1.7
176,2006-06-09T06:42:00Z,2006-06-09T08:42:00Z,2006-06-09T07:42:00Z,0.333,0.30814285714285716,2
177,2006-06-26T08:18:00Z,2006-06-26T13:42:00Z,2006-06-26T11:00:00Z,0.406,0.34943636363636366,5.4
178,2006-06-27T08:54:00Z,2006-06-27T13:36:00Z,2006-06-27T11:15:00Z,0.409,0.36914583333333334,4.7
179,2006-07-21T06:06:00Z,2006-07-21T08:42:00Z,2006-07-21T07:24:00Z,0.322,0.3105185185185185,2.6
180,2006-08-12T10:42:00Z,2006-08-12T13:12:00Z,2006-08-12T11:57:00Z,0.33,0.31473076923076926,2.5
181,2006-08-27T11:00:00Z,2006-08-27T12:54:00Z,2006-08-27T11:57:00Z,0.312,0.305,1.9
182,2006-08-27T23:06:00Z,2006-08-28T03:00:00Z,2006-08-28T01:03:00Z,0.36,0.3311,3.9
183,2006-08-28T09:54:00Z,2006-08-28T12:54:00Z,2006-08-28T11:24:00Z,0.32,0.30648387096774193,3
184,2006-09-01T02:00:00Z,2006-09-01T05:54:00Z,2006-09-01T03:57:00Z,0.335,0.3181,3.9
185,2006-09-01T14:12:00Z,2006-09-01T15:06:00Z,2006-09-01T14:39:00Z,0.31,0.30469999999999997,0.9
186,2006-09-01T15:36:00Z,2006-09-01T15:42:00Z,2006-09-01T15:39:00Z,0.293,0.292,0.1
187,2006-09-01T23:48:00Z,2006-09-02T20:12:00Z,2006-09-02T10:00:00Z,0.658,0.5137365853658536,20.4
188,2006-09-03T04:06:00Z,2006-09-03T08:30:00Z,2006-09-03T06:18:00Z,0.356,0.3324,4.4
189,2006-09-04T04:00:00Z,2006-09-04T10:00:00Z,2006-09-04T07:00:00Z,0.436,0.38021311475409836,6
190,2006-09-07T08:54:00Z,2006-09-07T09:30:00Z,2006-09-07T09:12:00Z,0.293,0.2917142857142857,0.6
191,2006-09-11T22:42:00Z,2006-09-12T04:24:00Z,2006-09-12T01:33:00Z,0.439,0.38267241379310346,5.7
192,2006-09-12T10:48:00Z,2006-09-12T14:48:00Z,2006-09-12T12:48:00Z,0.365,0.3358780487804878,4
193,2006-09-12T22:36:00Z,2006-09-13T06:36:00Z,2006-09-13T02:36:00Z,0.531,0.43337037037037035,8
194,2006-09-13T12:12:00Z,2006-09-13T14:18:00Z,2006-09-13T13:15:00Z,0.306,0.30086363636363633,2.1
195,2006-09-14T00:18:00Z,2006-09-14T06:48:00Z,2006-09-14T03:33:00Z,0.458,0.39724242424242423,6.5
196,2006-09-15T02:36:00Z,2006-09-15T04:42:00Z,2006-09-15T03:39:00Z,0.323,0.31018181818181817,2.1
197,2006-09-28T22:42:00Z,2006-09-29T05:48:00Z,2006-09-29T02:15:00Z,0.487,0.38955555555555554,7.1
198,2006-10-07T18:24:00Z,2006-10-08T02:54:00Z,2006-10-07T22:39:00Z,0.562,0.4546046511627907,8.5
199,2006-10-08T06:30:00Z,2006-10-08T12:30:00Z,2006-10-08T09:30:00Z,0.45,0.3914590163934426,6
200,2006-10-08T20:12:00Z,2006-10-09T01:12:00Z,2006-10-08T22:42:00Z,0.424,0.3735686274509804,5
201,2006-10-12T00:12:00Z,2006-10-12T03:48:00Z,2006-10-12T02:00:00Z,0.36,0.3326486486486486,3.6
202,2006-10-12T12:00:00Z,2006-10-12T15:12:00Z,2006-10-12T13:36:00Z,0.343,0.32203030303030306,3.2
203,2006-10-13T01:24:00Z,2006-10-13T02:12:00Z,2006-10-13T01:48:00Z,0.317,0.3078888888888889,0.8
204,2006-10-13T03:06:00Z,2006-10-13T03:12:00Z,2006-10-13T03:09:00Z,0.299,0.297,0.1
205,2006-10-14T02:30:00Z,2006-10-14T06:30:00Z,2006-10-14T04:30:00Z,0.35,0.3263658536585366,4
206,2006-10-17T18:24:00Z,2006-10-17T20:24:00Z,2006-10-17T19:24:00Z,0.306,0.299,2
207,2006-10-18T04:48:00Z,2006-10-18T08:36:00Z,2006-10-18T06:42:00Z,0.356,0.3310769230769231,3.8
208,2006-10-28T01:00:00Z,2006-10-28T18:48:00Z,2006-10-28T09:54:00Z,0.687,0.48003351955307266,17.8
209,2006-11-08T22:30:00Z,2006-11-09T01:48:00Z,2006-11-09T00:09:00Z,0.355,0.332,3.3
210,2006-11-16T16:54:00Z,2006-11-17T10:18:00Z,2006-11-17T01:36:00Z,0.691,0.5676514285714286,17.4
211,2007-03-02T18:12:00Z,2007-03-02T22:06:00Z,2007-03-02T20:09:00Z,0.362,0.332425,3.9
212,2007-04-19T09:30:00Z,2007-04-19T13:12:00Z,2007-04-19T11:21:00Z,0.379,0.34757894736842104,3.6999999999999997
213,2007-04-20T10:24:00Z,2007-04-20T14:06:00Z,2007-04-20T12:15:00Z,0.375,0.34560526315789475,3.6999999999999997
214,2007-05-19T10:48:00Z,2007-05-19T11:54:00Z,2007-05-19T11:21:00Z,0.306,0.30125,1.1
215,2007-06-04T11:24:00Z,2007-06-04T12:42:00Z,2007-06-04T12:03:00Z,0.3,0.29714285714285715,1.3
216,2007-06-05T11:24:00Z,2007-06-05T15:00:00Z,2007-06-05T13:12:00Z,0.348,0.3250540540540541,3.6
217,2007-06-11T05:54:00Z,2007-06-11T07:00:00Z,2007-06-11T06:27:00Z,0.297,0.29466666666666663,1.1
218,2007-06-14T06:54:00Z,2007-06-14T12:54:00Z,2007-06-14T09:54:00Z,0.464,0.3967049180327869,6
219,2007-06-14T19:54:00Z,2007-06-14T21:48:00Z,2007-06-14T20:51:00Z,0.305,0.29825,1.9
